ticker,company_name,index_memberships,sector,industry,theme,source,universe_tier,active,last_updated,source_updated_at
MMM,3M,S&P 500,Industrials,Industrial Conglomerates,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AOS,A. O. Smith,S&P 500,Industrials,Building Products,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ABT,Abbott Laboratories,S&P 500,Health Care,Health Care Equipment,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ABBV,AbbVie,S&P 500,Health Care,Biotechnology,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ACN,Accenture,S&P 500,Information Technology,IT Consulting & Other Services,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ADBE,Adobe Inc.,S&P 500,Information Technology,Application Software,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AMD,Advanced Micro Devices,S&P 500,Information Technology,Semiconductors,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AES,AES Corporation,S&P 500,Utilities,Independent Power Producers & Energy Traders,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AFL,Aflac,S&P 500,Financials,Life & Health Insurance,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
A,Agilent Technologies,S&P 500,Health Care,Life Sciences Tools & Services,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
APD,Air Products,S&P 500,Materials,Industrial Gases,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ABNB,Airbnb,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AKAM,Akamai Technologies,S&P 500,Information Technology,Internet Services & Infrastructure,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ALB,Albemarle Corporation,S&P 500,Materials,Specialty Chemicals,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ARE,Alexandria Real Estate Equities,S&P 500,Real Estate,Office REITs,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ALGN,Align Technology,S&P 500,Health Care,Health Care Supplies,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ALLE,Allegion,S&P 500,Industrials,Building Products,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
LNT,Alliant Energy,S&P 500,Utilities,Electric Utilities,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ALL,Allstate,S&P 500,Financials,Property & Casualty Insurance,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
GOOGL,Alphabet Inc. (Class A),S&P 500,Communication Services,Interactive Media & Services,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
GOOG,Alphabet Inc. (Class C),S&P 500,Communication Services,Interactive Media & Services,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
MO,Altria,S&P 500,Consumer Staples,Tobacco,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AMZN,Amazon,S&P 500,Consumer Discretionary,Broadline Retail,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AMCR,Amcor,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AEE,Ameren,S&P 500,Utilities,Multi-Utilities,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AEP,American Electric Power,S&P 500,Utilities,Electric Utilities,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AXP,American Express,S&P 500,Financials,Consumer Finance,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AIG,American International Group,S&P 500,Financials,Multi-line Insurance,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AMT,American Tower,S&P 500,Real Estate,Telecom Tower REITs,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AWK,American Water Works,S&P 500,Utilities,Water Utilities,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AMP,Ameriprise Financial,S&P 500,Financials,Asset Management & Custody Banks,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AME,Ametek,S&P 500,Industrials,Electrical Components & Equipment,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AMGN,Amgen,S&P 500,Health Care,Biotechnology,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
APH,Amphenol,S&P 500,Information Technology,Electronic Components,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ADI,Analog Devices,S&P 500,Information Technology,Semiconductors,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AON,Aon plc,S&P 500,Financials,Insurance Brokers,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
APA,APA Corporation,S&P 500,Energy,Oil & Gas Exploration & Production,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
APO,Apollo Global Management,S&P 500,Financials,Asset Management & Custody Banks,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AAPL,Apple Inc.,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AMAT,Applied Materials,S&P 500,Information Technology,Semiconductor Materials & Equipment,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
APP,AppLovin,S&P 500,Information Technology,Application Software,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
APTV,Aptiv,S&P 500,Consumer Discretionary,Automotive Parts & Equipment,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ACGL,Arch Capital Group,S&P 500,Financials,Property & Casualty Insurance,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ADM,Archer Daniels Midland,S&P 500,Consumer Staples,Agricultural Products & Services,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ARES,Ares Management,S&P 500,Financials,Asset Management & Custody Banks,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ANET,Arista Networks,S&P 500,Information Technology,Communications Equipment,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AJG,Arthur J. Gallagher & Co.,S&P 500,Financials,Insurance Brokers,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AIZ,Assurant,S&P 500,Financials,Multi-line Insurance,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
T,AT&T,S&P 500,Communication Services,Integrated Telecommunication Services,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ATO,Atmos Energy,S&P 500,Utilities,Gas Utilities,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ADSK,Autodesk,S&P 500,Information Technology,Application Software,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
ADP,Automatic Data Processing,S&P 500,Industrials,Human Resource & Employment Services,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AZO,AutoZone,S&P 500,Consumer Discretionary,Automotive Retail,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AVB,AvalonBay Communities,S&P 500,Real Estate,Multi-Family Residential REITs,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AVY,Avery Dennison,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
AXON,Axon Enterprise,S&P 500,Industrials,Aerospace & Defense,,wikipedia_sp500,,TRUE,2026-05-25,2026-05-25
